BUNGCAER	0000000000000000000000000000000000000000000000000000000000000000011000110001000000110111000000000000000000000000000000000
ATRAMICR	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
VARAGILL	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
PANTROG	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
AIPYEYDO	0000000000000000000000000000000000000000000000000000000000000000011000110001000000100000010010000001010000010000000000000
DABORUSS	1110110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
TROPCARI	0000000000000000000000000000000000000000000000000000000000000000011000110001000000100000010010000001011010100000000000000
BOTHJARC	1000000000000000000110101000001000000000001000000000000010100110000000000000000000000000000000000000000000000000000000000
DABORUSI	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
LIOPPOEC	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
DISPTYPU	0000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000100000101
CROTDURD	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
SALMSALA	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
DANIRERI	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
AIPYLAEV	0000000000000000000000000000000000000000000000000000000000000000011000110001000000100000010010000001010000011000000000000
CROTOREG	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
MICRCORA	0000000000000000000000000000000000000000000000000000000000000000011000111100000000000000000000000000000000000000000000000
CELEWARR	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
NAJAKAOU	0000000000000000000000000000000000000000000000000000000000000000011000110001110101000000000000000000000000000000000000000
MASTNATA	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
CRYPNIGR	0000000000000000000000000000000000000000000000000000000000000000011000110001000000100000010010000001100000000000000000000
BITIARIE	1100000000100001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
AZEMFEAE	1000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CALLRHOD	1000000000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
SPIRLANC	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
VARAPANO	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
THAMELEG	0000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000111010000
OXYUSCUS	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
PSEUCFAH	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
VARAGOUL	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
GERRINFE	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
SCHIMANS	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
VIRISTEJ	1000000000000000000110101101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
MICRIKAH	0000000000000000000000000000000000000000000000000000000000000000011000110001000000100000011000000000000000000000000000000
MACAMULA	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
OPHIHANN	0000000000000000000000000000000000000000000000000000000000000000011000110001100000000000000000000000000000000000000000000
AGKICONT	1000000000000000000110101000001000000000001100011000000000000000000000000000000000000000000000000000000000000000000000000
MICRALTI	0000000000000000000000000000000000000000000000000000000000000000011000111010000000000000000000000000000000000000000000000
NOMALEUC	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
MICRFULV	0000000000000000000000000000000000000000000000000000000000000000011000111100000000000000000000000000000000000000000000000
LACHMUTA	1000000000000000000110101000001000000000001111000000000000000000000000000000000000000000000000000000000000000000000000000
XIPHMACU	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
AGKIPISC	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
DEMAVEST	0000000000000000000000000000000000000000000000000000000000000000011000110001000000100000011100000000000000000000000000000
PHILOLFE	0000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000110001000
THRAJACK	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
NAJASPUT	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
MUSMUSC	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
BOTHMOOJ	1000000000000000000110101000001000000000001000000000000010100101100000000000000000000000000000000000000000000000000000000
LAMPFLUV	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
BUNGMULM	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
ATHENITS	1100000000100001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
GLOYHALY	1000000000000000000110101000001110110000000000000000000000000000000000000000000000000000000000000000000000000000000000000
VARAINDI	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
ONCOMYKI	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
MACAFASC	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
NAJAATRA	0000000000000000000000000000000000000000000000000000000000000000011000110001110110000000000000000000000000000000000000000
LEIOMADA	0000000000000000000000000000000000000000000000000000000000000000011000100000000000000000000000000000000000000110000000000
CAVIPORC	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
DRYSCORO	0000000000000000000000000000000000000000000000000000000000000000011000110001000000100000010010000001011100000000000000000
BUNGMULT	0000000000000000000000000000000000000000000000000000000000000000011000110001000000110110100000000000000000000000000000000
BOTHJARA	1000000000000000000110101000001000000000001000000000000010110000000000000000000000000000000000000000000000000000000000000
NAJAMOSS	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
RHABTIGT	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
CERBRYNC	0000000000000000000000000000000000000000000000000000000000000000011101000000000000000000000000000000000000000000000000000
RHABTIGR	0000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000111100000
TELEDHAR	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
LAPEHARD	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
VARASCAL	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
CROTVIRI	1000000000000000000110101000001000000000001100010101010100000000000000000000000000000000000000000000000000000000000000000
GALLGALL	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
VARAACAN	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
PONGABEL	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
ACIPSINE	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
ECHIOCEL	1100000000110110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
POGOBARB	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
CANILUPU	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
CERACERA	1100000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
ORYCCUNI	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
ECHICARS	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
PSAMMOSS	0000000000000000000000000000000000000000000000000000000000000000011000100000000000000000000000000000000000000101000000000
OXYUSCUT	0000000000000000000000000000000000000000000000000000000000000000011000110001000000100000010011110000000000000000000000000
DEINACUT	1000000000000000000110110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
ACIPSCHR	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
CROTHORR	1000000000000000000110101000001000000000001100010110000000000000000000000000000000000000000000000000000000000000000000000
